retailer_id,mobile_number,market_name,agent_name,supervisor_name
2976,7704207257,????? ???? ?????? / ???? ???????* BM,,
2945,7819047020,???? / ? ????? * BM,,
2918,7723979763,??????? / ? ????? BM,,
2948,7711345040,????? ???? ????????/??????? BM,,
2920,7716972280,????? ????? 2/ ?????? BM,,
2951,7904201025,????? ????? /????? BM,,
2930,7718223010,????? ????? 2 / ????? ?????? CDA * BM,,
2963,7806791950,????? ?????? /????? ?????? * BM,,
2960,7704201604,????? ??????? - ????? ??????* BM,,
2931,7770410517,????? ?????? - ???? /??? ?????? BM,,
2952,7706621344,????? ??????? / ??????? CDA* BM,,
2826,7721772357,????? ?????? ??????/ ??? ?????? BM,,
3516,7710358446,????? ??? ??????? / ??????3 * CDA BM,,
2788,7707017845,??? ??????? CDA/ ???? ?????? # BM,,
2785,7725925356,???? ?????/ ??? ?????? BM,,
2782,7801533464,????? ?? ?????? /???? 1 CDA BM,,
2773,7718988760,????? ????? / ??????1 BM,,
2816,7700494668,??? ????/ ???? ??? ????????* CDA BM,,
3519,7708173811,????? ???? / ?????? ??????? * CDA BM,,
2813,7709604405,?????? ?????? ????????/???? ??? ????????* BM,,
2944,7713265048,????? ??? ???? /?????? CDA BM,,
2947,7712316736,????? ?????2 / ???? ??? ???????? * BM,,
2950,7721100840,????? ????? - ??? ???? ???? - ?????? BM,,
2822,7706884766,????? ?????/??? ?????? *BM,,
2794,7735975198,????? ????/??? ?????? * BM,,
2968,7744552888,????? ???????? / ?? ?????? cda* BM,,
2809,7718622745,????? ?????? 2/ ?? ?????? * BM,,
2925,7779481020,????? ???? / ?? ?????? * BM,,
2923,7740777805,????? ??????? - ???? ???? ????/?? ?????? cda* MB,,
2967,7727481091,????? ??? ????? ??????? / ?? ?????? *#BM,,
2805,7724579817,????? ?????? 2 ?????? ??????? CDA/ ?????? ????? BM,,
2811,7763754137,????? ?????? / ?? ?????? # BM,,
2971,7733222374,????? ?????? / ???? ?????? # BM,,
2942,7780247604,????? ???????? /?? ?????? CDA # BM,,
2789,7704646049,????? ?????? / ???? ?????? *BM,,
2808,7736655402,????? ??? ???? / ???? ??????# BM,,
2902,7701708021,????? ??? CDA/ ????????? BM,,
2911,7714596248,??????? ??? CDA / ?????? BM,,
2897,7712122049,????? ???? CDA/ ????????/?????? BM,,
2907,7712342622,????? ?????/ ????????? BM,,
2900,7700612258,????? ?????? / ?????? BM,,
2895,7746531836,????? ?? ?????? CDA/ ??????? ?????? BM,,
2927,7827103138,????? ??? / ?? ????? CDA BM,,
2853,7818993267,????? ??? ??? /?????? BM,,
2787,7776615435,????? ??????? / ???????? CDA/???????? BM,,
2932,7882872648,????? ???? ???????/?? ????? BM,,
2921,7851008513,????? ?????/?? ????? BM,,
2929,7803832614,????? ??????? / ?? ????? BM,,
2919,7883571676,????? ????? - ??? ???? / ?? ????? BM,,
2860,7710213603,????? ??? /???????? BM,,
2856,7735257148,????? ????????/????????/?????? ??????? CDA BM,,
2840,7704334033,????? ????? ?? ?????? ????? ??????/????? ??????? cda BM,,
2912,7761600190,????? ??????? / ?????? CDA BM,,
2832,7707226826,????? ?????? / ?????? cda BM,,
2858,7902230398,????? ???????? / ?????? CDA BM,,
2835,7723292372,????? ???? ?????/????? ??????? CDA BM,,
2831,7700487192,????? ?????? / ?????? BM,,
2844,7783307248,????? ????? / ????????/???????? CDA,,
2838,7728502154,????? ????/ ?????? BM,,
2914,7716591518,????? ??????? / ??????,,
2796,7811256076,????? ???? /?????? BM,,
2781,7893806982,???? ?????? ??????? / ?? ????? BM,,
2769,7718855911,????? ????? ??? ???? / ???????? BM,,
2850,7814055135,????? ????? / ?? ????? CDA BM,,
2770,7906339170,????? ???? / ????? BM,,
2934,7803562104,????? ??????? /?????? BM,,
2792,7812302003,???? ????? ?????/ ???????? BM,,
2774,7718898655,????? ?????? /?? ????? BM,,
2975,7717773019,????? ????? - ??? / ????? CDA BM,,
2959,7881610437,????? ???? /??????? CDA BM,,
2969,7902242781,????? ??? ???? /??????? BM,,
2964,7901407490,??????? ??? ???? ?????? / ??????? BM,,
2956,7702913353,????? ?????? /????? BM,,
2953,7703708052,????? ???? /??????? BM,,
2949,7715583231,????? ?????? /???????BM,,
3043,7817474994,????? ????? / ???????? BM,,
